woy,ecoli,ph,cond,do,flow,a_t,w_t,turb,perc_SAV,SAV_pa,precip_1d,avg_solar_1d,precip_2d,avg_solar_2d,precip_3d,avg_solar_3d,precip_4d,avg_solar_4d,precip_5d,avg_solar_5d,avg_temp_0_to_5d,precip_10d,avg_temp_10d,avg_solar_10d,precip_20d,avg_temp_20d,avg_solar_20d,precip_30d,avg_temp_30d,avg_solar_30d,rdparallel,org_matter,sand,fine_gravel,coarse_gravel,clay,rocky,bottom_collapsed,cobbleorbigger,outfall_ditch,camp_min,camp_density,camp_pa,culverts_min,culverts_pa,dams_min,dams_pa,anylivestock_min,anylivestock_density,anylivestock_pa,cattle_min,cattle_density,cattle_pa,livestock_goatsheep_min,livestock_goatsheep_density,livestock_goatsheep_pa,livestock_horse_min,livestock_horse_density,livestock_horse_pa,livestock_pigs_min,livestock_pigs_density,livestock_pigs_pa,livestock_poultry_min,livestock_poultry_density,livestock_poultry_pa,roadsinterx_min,stormwateroutfalls_min,stormwateroutfalls_pa,trailer_min,trailer_density,trailer_pa,wastewater_min,wastewater_density,wastewater_pa,waterbodiesinterx_min,waterbodiesinterx_pa,septic_adj_sepden_m2,DG3_pa,GFD_pa,HF183_pa,Rum2Bac_pa,idw_X11,idw_X21,idw_X22,idw_X81,idw_X82,idw_forwet,impcvr_idw_mean,area_10km,buffer_60m_idw_X21,buffer_60m_idw_X22,buffer_60m_idw_X81,buffer_60m_idw_X82,buffer_60m_idw_forwet
26,2.41713941,7.5,2.736396502,4.56,0,32,23.1,0.559906625,0.35,present,0,1.120587415,0.381,0.94896749,0.2286,0.265801591,0.127,0.335740198,0,1.053788196,16.10416667,1.3462,20.31203704,0.901109251,0.3302,18.07615741,0.896173434,3.9624,19.15138889,0.679625366,n,y,n,y,n,y,not rocky,sand and organic matter,a,n,NA,0,0,4.285633506,Present,NA,0,12.00348046,0.349,Present,12.00348046,0.349,Present,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0.010944804,NA,0,1.65585012,0.174,Present,NA,0,0,0.881075705,Present,74.7,N,N,N,N,2.220633637,5.544296103,1.373833215,8.240513466,23.80231204,58.44380508,0.277121278,5.73675123,5.013891654,1.121966008,4.491936506,17.64059078,68.50418107
33,1.474216264,7.6,3.095866453,6.8,0.05,23.7,22.8,1.559906625,1,present,0,0.483465885,0.0254,0.841705037,0.0254,0.762871494,0.0762,0.824612809,0.1524,0.449979071,21.5162037,4.0386,23.44166667,0.647411748,3.7338,22.03541667,0.603931213,3.429,22.6900463,0.849291893,n,y,n,y,n,y,not rocky,sand and organic matter,a,n,NA,0,0,4.285633506,Present,NA,0,12.00348046,0.349,Present,12.00348046,0.349,Present,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0.010944804,NA,0,1.65585012,0.174,Present,NA,0,0,0.881075705,Present,74.7,N,N,N,N,2.220633637,5.544296103,1.373833215,8.240513466,23.80231204,58.44380508,0.277121278,5.73675123,5.013891654,1.121966008,4.491936506,17.64059078,68.50418107
23,2.688775655,7.59,2.584331224,7.29,0.2,14,15.9,0.854913022,0.45,present,0.7112,0.471954793,1.8288,0.455909027,0.0508,0.706188084,1.3462,0.433758895,0.0254,0.625959258,14.49305556,0,22.16111111,0.831170643,3.2258,17.41134259,0.792573601,1.2192,14.5599537,0.748116367,n,y,y,n,n,n,not rocky,sand and organic matter,a,n,NA,0,0,7.398139446,Present,NA,0,3.920215725,1.24,Present,3.920215725,0.62,Present,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0.002329765,NA,0,NA,0,0,NA,0,0,NA,0,117,N,N,P,P,0.324855471,6.417014193,0.695351793,10.72395936,25.86717617,55.80697798,0.420890815,3.224720923,6.719537842,3.108926445,18.46859402,10.6291332,60.29847721
43,2.812110841,6.83,2.613841822,7.69,0.1,6.2,6.8,0.673020907,0,absent,1.778,0.135168132,0,0.109355379,0,0.179119576,0.0254,0.214176085,0,0.326670853,6.615740741,0.4572,7.111111111,0.280382308,3.5052,15.17152778,0.296829217,5.207,14.5212963,0.287794754,n,y,y,n,n,n,not rocky,sand and organic matter,a,n,NA,0,0,4.807214791,Present,NA,0,1.32929107,1.44,Present,1.32929107,0.721,Present,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0.880530196,NA,0,NA,0,0,NA,0,0,NA,0,116,N,N,P,P,0.397342168,5.611771335,0.294821108,4.788329667,23.23802888,65.46033943,0.122733633,2.776297858,3.716974128,0.087154409,2.418534838,7.577591633,85.32093804
20,2.562768543,7.93,2.965201701,7.73,0,14.8,17.4,0.960946196,NA,NA,0.635,0.663283103,0,0.939723734,0,0.706711316,0.0254,0.670433933,0.0254,0.568229385,19.44675926,0.1016,16.08055556,0.793916562,2.8194,12.25810185,0.636685503,4.064,5.249537037,0.571787359,n,n,y,y,y,n,rocky,fine gravel,a,y,NA,0,0,7.94029425,Present,5.552765207,Present,6.402012133,1.17,Present,6.402012133,1.17,Present,NA,0,0,NA,0,0,NA,0,0,NA,0,0,2.505741367,NA,0,11.09356795,0.781,Present,9.296162732,0.39,Present,5.612482969,Present,115,N,N,N,N,1.178198562,5.759229971,2.599112381,6.888031159,59.31091211,23.99901862,0.293869564,2.559361525,7.800592112,0.03438067,4.624200172,16.25059689,69.57119664
24,2.222716471,8.14,2.975431809,8.07,0.8,19.2,16.9,1.173186268,0.15,present,0,1.054834659,0,0.994314218,0,0.610611134,0,0.984198409,0,0.853913771,16.47222222,2.413,14.48935185,0.516045765,0.127,22.34398148,0.884051905,2.8956,16.30092593,0.712309893,n,n,y,y,y,n,rocky,fine gravel,a,y,NA,0,0,7.94029425,Present,5.552765207,Present,6.402012133,1.17,Present,6.402012133,1.17,Present,NA,0,0,NA,0,0,NA,0,0,NA,0,0,2.505741367,NA,0,11.09356795,0.781,Present,9.296162732,0.39,Present,5.612482969,Present,115,N,N,N,N,1.178198562,5.759229971,2.599112381,6.888031159,59.31091211,23.99901862,0.293869564,2.559361525,7.800592112,0.03438067,4.624200172,16.25059689,69.57119664
33,2.613418945,8.22,2.955206538,7.62,0.3,19.2,20.7,1.161368002,0,absent,0.4064,0.182433375,0,0.767406167,0,0.803160318,0,0.66206223,0,0.74717455,21.11342593,3.4036,24.25972222,0.595437422,1.2446,22.03148148,0.567514302,4.826,22.86087963,0.633389145,n,n,y,y,y,n,rocky,fine gravel,a,y,NA,0,0,7.94029425,Present,5.552765207,Present,6.402012133,1.17,Present,6.402012133,1.17,Present,NA,0,0,NA,0,0,NA,0,0,NA,0,0,2.505741367,NA,0,11.09356795,0.781,Present,9.296162732,0.39,Present,5.612482969,Present,115,N,N,N,N,1.178198562,5.759229971,2.599112381,6.888031159,59.31091211,23.99901862,0.293869564,2.559361525,7.800592112,0.03438067,4.624200172,16.25059689,69.57119664
30,2.223755454,8.01,3.296006669,8.09,0.1,24,20.3,0.460897843,0,absent,0.0508,0.741419004,1.2954,0.815020232,0,1.015243477,0.0254,1.067392214,0,1.054834659,24.09722222,1.524,24.10324074,0.852239431,2.1082,22.04328704,1.040445793,3.2766,21.59976852,0.779684666,n,n,y,y,n,n,rocky,cobble or bigger,p,n,NA,0,0,10.04082705,Present,NA,0,9.451967413,0.202,Present,9.451967413,0.202,Present,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0.001134023,NA,0,NA,0,0,NA,0,0,20.39445627,Present,137,N,N,N,N,0.06832868,5.964117682,3.759595841,12.19656101,47.06804886,30.78716809,0.459374056,4.950039922,5.061277145,3.414319501,5.722066939,25.28058482,60.43144843
26,1.812913357,8.14,3.15136985,8.76,0.2,29.2,20.2,0.64246452,0.85,present,0,1.147621041,0.4826,0.725722059,0.127,0.294404911,0.127,0.483989117,0,1.105064881,15.78009259,1.3462,20.43564815,0.900690666,0.3302,17.9837963,0.882621739,3.9624,19.18819444,0.671079252,n,n,y,y,n,n,rocky,cobble or bigger,p,n,NA,0,0,10.04082705,Present,NA,0,9.451967413,0.202,Present,9.451967413,0.202,Present,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0.001134023,NA,0,NA,0,0,NA,0,0,20.39445627,Present,137,N,N,N,N,0.06832868,5.964117682,3.759595841,12.19656101,47.06804886,30.78716809,0.459374056,4.950039922,5.061277145,3.414319501,5.722066939,25.28058482,60.43144843
38,2.021189299,8.15,3.151982395,8.79,0.1,22.4,19.3,1.204119983,0.5,present,0,0.50980187,0.3048,0.429921864,0,0.547648947,0,0.576775499,0,0.506139249,20.44212963,2.032,17.80277778,0.344774662,3.429,20.96990741,0.514057486,4.3434,21.89953704,0.570793219,n,n,y,y,n,n,rocky,cobble or bigger,p,n,NA,0,0,10.04082705,Present,NA,0,9.451967413,0.202,Present,9.451967413,0.202,Present,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0.001134023,NA,0,NA,0,0,NA,0,0,20.39445627,Present,137,N,N,N,N,0.06832868,5.964117682,3.759595841,12.19656101,47.06804886,30.78716809,0.459374056,4.950039922,5.061277145,3.414319501,5.722066939,25.28058482,60.43144843
30,3.238773502,7.66,2.619093331,8.5,0.3,24.3,20.8,1.354108439,0,absent,3.0734,0.264231896,2.2098,0.418585182,0.2794,0.707060137,1.4478,0.511894796,0,1.066520162,25.70833333,0.5842,22.75833333,1.093065439,2.5146,22.28125,1.129464909,1.0922,24.26944444,1.016743407,y,n,y,y,n,n,rocky,fine gravel,p,y,NA,0,0,1.200197333,Present,7.152593342,Present,1.926076818,3.04,Present,1.926076818,2.9,Present,NA,0,0,NA,0,0,9.812029229,0.138,Present,NA,0,0,0.117584923,NA,0,1.113810547,0.138,Present,NA,0,0,NA,0,92.3,N,N,P,P,0.227284106,8.227618369,7.766791929,20.71304038,25.56011138,37.22253963,1.698993573,7.23296244,10.05834239,17.36162749,10.56550173,8.371942268,53.64258613
19,1.465382851,8.51,2.478566496,10.49,0.5,17.9,15.7,0.305351369,NA,present,0,0.666771313,0,0.642005023,0.5588,1.055532301,0.0762,0.50648807,0,0.543463095,12.98148148,1.4986,12.28935185,0.741174829,1.0414,7.455092593,0.752441747,2.8702,3.459490741,0.399644203,y,n,y,y,n,n,rocky,fine gravel,p,y,NA,0,0,1.200197333,Present,7.152593342,Present,1.926076818,3.04,Present,1.926076818,2.9,Present,NA,0,0,NA,0,0,9.812029229,0.138,Present,NA,0,0,0.117584923,NA,0,1.113810547,0.138,Present,NA,0,0,NA,0,92.3,N,N,N,N,0.227284106,8.227618369,7.766791929,20.71304038,25.56011138,37.22253963,1.698993573,7.23296244,10.05834239,17.36162749,10.56550173,8.371942268,53.64258613
25,2.937718444,8.19,2.687528961,8.76,0.2,17.9,18.7,0.413299764,0.4,present,0.6604,0.930305567,0,1.151981303,0,1.235523929,0,1.091112041,0,1.319415376,26.02314815,1.016,19.86435185,0.939933026,5.588,19.48078704,0.707600809,1.2192,21.0625,0.894690945,y,n,y,y,n,n,rocky,fine gravel,p,y,NA,0,0,1.200197333,Present,7.152593342,Present,1.926076818,3.04,Present,1.926076818,2.9,Present,NA,0,0,NA,0,0,9.812029229,0.138,Present,NA,0,0,0.117584923,NA,0,1.113810547,0.138,Present,NA,0,0,NA,0,92.3,N,N,N,N,0.227284106,8.227618369,7.766791929,20.71304038,25.56011138,37.22253963,1.698993573,7.23296244,10.05834239,17.36162749,10.56550173,8.371942268,53.64258613
27,2.138618434,8.33,2.604226053,8.37,0.6,40.5,24.7,0.336459734,NA,absent,0,0.905364867,0,1.09756523,0,1.161225059,0.0762,0.764441189,1.0668,0.221675736,28.125,2.7686,19.46759259,0.751151109,1.1684,21.15393519,0.961158783,1.2954,16.74652778,0.64294684,n,n,y,n,y,n,rocky,cobble or bigger,p,y,5.677544291,0.13,Present,10.3616613,Present,4.689859788,Present,9.047731937,0.477,Present,9.047731937,0.433,Present,NA,0,0,NA,0,0,11.62612799,0.0433,Present,NA,0,0,0.035966482,NA,0,3.628643822,0.0433,Present,13.61671177,0.0433,Present,23.80170049,Present,59.5,N,N,N,N,0.222326988,5.551058222,0.840364512,10.44741353,9.871090446,72.57420514,0.158892401,23.07291786,6.942226484,2.659835129,9.103367293,5.776426968,74.76445593
23,2.861534411,8.15,2.488550717,9.03,1.1,21.7,17.2,1.184691431,0,absent,1.1176,0.398179154,0,0.540672527,0.0254,0.452420818,0,0.723454723,0,0.856006697,16.9212963,0.0508,23.08333333,0.841077159,1.6764,17.8287037,0.790131854,2.0066,15.56944444,0.700449979,n,n,y,n,y,n,rocky,cobble or bigger,p,y,5.677544291,0.13,Present,10.3616613,Present,4.689859788,Present,9.047731937,0.477,Present,9.047731937,0.433,Present,NA,0,0,NA,0,0,11.62612799,0.0433,Present,NA,0,0,0.035966482,NA,0,3.628643822,0.0433,Present,13.61671177,0.0433,Present,23.80170049,Present,59.5,N,N,N,P,0.222326988,5.551058222,0.840364512,10.44741353,9.871090446,72.57420514,0.158892401,23.07291786,6.942226484,2.659835129,9.103367293,5.776426968,74.76445593
32,2.35831564,8.56,2.652246341,8.38,0.5,21.9,22.7,1.292256071,0,absent,0.5334,0.508232175,0.2286,0.691188782,0,0.876063904,0,0.873622157,0,0.585147202,23.93518519,0.1778,22.36574074,0.529056788,7.7724,22.67361111,0.608988677,1.3208,23.375,0.840879347,n,n,y,n,y,n,rocky,cobble or bigger,p,y,5.677544291,0.13,Present,10.3616613,Present,4.689859788,Present,9.047731937,0.477,Present,9.047731937,0.433,Present,NA,0,0,NA,0,0,11.62612799,0.0433,Present,NA,0,0,0.035966482,NA,0,3.628643822,0.0433,Present,13.61671177,0.0433,Present,23.80170049,Present,59.5,N,N,N,N,0.222326988,5.551058222,0.840364512,10.44741353,9.871090446,72.57420514,0.158892401,23.07291786,6.942226484,2.659835129,9.103367293,5.776426968,74.76445593
30,3.080373917,7.76,2.550228353,8.02,0.65,22.4,21.2,1.683947131,NA,NA,1.651,0.275917399,1.8288,0.220106042,0.762,0.445967629,0.6604,0.498814009,0,0.752755686,22.4837963,2.1082,21.28240741,0.757185712,0.3302,21.58819444,0.79736989,2.7178,22.78611111,0.727989396,y,n,n,y,y,n,rocky,coarse gravel,p,n,NA,0,0,NA,0,12.47851673,Present,1.978520406,1.12,Present,2.937732125,0.558,Present,NA,0,0,NA,0,0,NA,0,0,1.978520406,0.558,Present,1.514172815,NA,0,NA,0,0,4.599892878,0.279,Present,9.335890949,Present,192,N,N,N,P,0.150405441,6.66797454,7.8842968,33.20496798,6.730946222,44.23857548,2.830267961,3.588279849,5.089883856,10.58146933,18.44334385,1.178906922,63.67344902
15,0.612783857,8.35,2.45484486,12.54,0.5,15,5,0.439332694,0,absent,0,0.415969025,0.0254,0.441258546,0,0.652818474,0,0.512592438,0.0762,0.441432957,0.648148148,1.27,1.598611111,0.457060137,3.7084,2.735416667,0.480152086,0.4572,-2.871759259,0.507743826,y,n,n,y,y,n,rocky,coarse gravel,p,n,NA,0,0,NA,0,12.47851673,Present,1.978520406,1.12,Present,2.937732125,0.558,Present,NA,0,0,NA,0,0,NA,0,0,1.978520406,0.558,Present,1.514172815,NA,0,NA,0,0,4.599892878,0.279,Present,9.335890949,Present,192,N,N,P,N,0.150405441,6.66797454,7.8842968,33.20496798,6.730946222,44.23857548,2.830267961,3.588279849,5.089883856,10.58146933,18.44334385,1.178906922,63.67344902
24,1.709269961,8.74,2.527629901,9.72,0.4,27.3,21.1,0.521138084,0.2,present,0,0.886179713,0,0.611657597,0,0.659969304,0,0.876063904,0,0.687351751,16.64814815,0.8382,15.12824074,0.40508581,4.3942,20.82268519,0.728687038,2.9718,15.22569444,0.533783312,y,n,n,y,y,n,rocky,coarse gravel,p,n,NA,0,0,NA,0,12.47851673,Present,1.978520406,1.12,Present,2.937732125,0.558,Present,NA,0,0,NA,0,0,NA,0,0,1.978520406,0.558,Present,1.514172815,NA,0,NA,0,0,4.599892878,0.279,Present,9.335890949,Present,192,N,N,P,N,0.150405441,6.66797454,7.8842968,33.20496798,6.730946222,44.23857548,2.830267961,3.588279849,5.089883856,10.58146933,18.44334385,1.178906922,63.67344902
36,NA,8.15,2.686636269,7.75,0.8,25.3,20,0.075546961,0,absent,0,0.519568857,0,0.387365704,0,0.470733919,0,0.33277522,0,0.252371983,24.51157407,0.9906,23.11851852,0.710025115,3.2004,20.35115741,0.631941538,6.4262,21.73101852,0.565352785,y,n,y,n,y,n,rocky,coarse gravel,p,n,2.612647155,0.114,Present,3.427021609,Present,4.349474062,Present,2.594089666,2.1,Present,2.594089666,0.738,Present,NA,0,0,10.00125466,0.397,Present,NA,0,0,NA,0,0,0.171202965,0.171202965,Present,5.306157992,0.568,Present,3.90734449,0.114,Present,4.653895021,Present,176,N,N,N,N,0.196039146,4.852652928,2.118715567,27.89245149,3.327800984,61.27906118,0.454267084,17.61770488,4.407436535,3.87008345,23.45468774,4.726944824,63.2490938
20,1.970346876,7.98,2.619093331,9.89,0.7,21.5,13.6,0.46834733,0,absent,0.3302,0.475094182,0.6858,0.674794196,0,0.423643086,0.0254,0.148074508,0.6858,0.585670434,13.69444444,1.143,15.38518519,0.666143435,1.143,13.67569444,0.537114553,2.3368,5.863194444,0.521347844,y,n,y,n,y,n,rocky,coarse gravel,p,n,2.612647155,0.114,Present,3.427021609,Present,4.349474062,Present,2.594089666,2.1,Present,2.594089666,0.738,Present,NA,0,0,10.00125466,0.397,Present,NA,0,0,NA,0,0,0.171202965,0.171202965,Present,5.306157992,0.568,Present,3.90734449,0.114,Present,4.653895021,Present,176,N,N,N,P,0.196039146,4.852652928,2.118715567,27.89245149,3.327800984,61.27906118,0.454267084,17.61770488,4.407436535,3.87008345,23.45468774,4.726944824,63.2490938
32,1.804820679,8.34,2.677606953,9.22,0.4,33,24.9,0.26245109,0,absent,0,1.046637366,0,1.000592996,0.0508,0.890539975,0.254,0.470036277,0.0508,0.586019255,24.55092593,0.0508,20.54537037,0.511615739,7.0358,21.10208333,0.570374634,2.1336,22.4474537,0.775254639,y,n,y,n,y,n,rocky,coarse gravel,p,n,2.612647155,0.114,Present,3.427021609,Present,4.349474062,Present,2.594089666,2.1,Present,2.594089666,0.738,Present,NA,0,0,10.00125466,0.397,Present,NA,0,0,NA,0,0,0.171202965,0.171202965,Present,5.306157992,0.568,Present,3.90734449,0.114,Present,4.653895021,Present,176,N,N,N,P,0.196039146,4.852652928,2.118715567,27.89245149,3.327800984,61.27906118,0.454267084,17.61770488,4.407436535,3.87008345,23.45468774,4.726944824,63.2490938
